Name,M/F/H,Date,Habitat Score,COC
Robinson Creek Tributary:  N 3510 Road,Fish,6/14/2006,,
Rock Creek:  40' Swimming Hole,Fish,6/25/2013,,8541
Rock Creek:  40' Swimming Hole,Fish,7/22/2008,,
Rock Creek:  40' Swimming Hole,Fish,8/20/2002,106,
Rock Creek:  Garrett's Lake Road,fish,8/1/2024,,11486
Rock Creek:  Hwy 33,Fish,6/24/2014,,8964
Rock Creek:  Hwy 33,Fish,7/31/2007,,
Rock Creek:  Oklahoma Street,fish,8/13/2024,,11486
Rock Creek:  Oklahoma Street,Fish,7/23/2020,,10564
Rock Creek:  Oklahoma Street,Fish,8/22/2017,,9613
Rock Creek:  Oklahoma Street,Fish,6/24/2013,,8541
Rock Creek:  Oklahoma Street,Fish,7/21/2008,,
Rock Creek:  Oklahoma Street,Fish,9/19/2005,86,
Salt Fork Arkansas River: Hwy 281,fish,8/27/2024,,11486
Sanborn-Hazen Lake Creek:  Strickland Park,Fish,6/30/2023,,11201
Sanborn-Hazen Lake Creek:  Strickland Park,Fish,8/17/2020,,10601
Sanborn-Hazen Lake Creek:  Strickland Park,Fish,7/22/2014,,8964
Sand Creek:  Osage Hills State Park,fish,7/31/2024,,11486
Sand Creek:  Osage Hills State Park,Fish,8/10/2020,,10601
Sand Creek:  Osage Hills State Park,Fish,7/1/2014,,8964
Sand Creek:  Osage Hills State Park,Fish,7/8/2008,,
Sand Creek: Hwy 123,Fish,7/29/2024,,11412
Sandy Creek:  Propst,Fish,7/29/2010,,
Sans Bois Creek,Fish,9/14/2018,,10052
Sharp Creek:  Smith Grove,Fish,8/8/2020,,10601
Sharp Creek:  Smith Grove,Fish,6/22/2015,,9297
Sharp Creek:  Smith Grove,Fish,6/22/2015,,9297
Sharp Creek:  Smith Grove,Fish,8/1/2011,,
Sharp Creek:  Smith Silo,Fish,8/8/2020,,10601
Sharp Creek:  Smith Silo,Fish,6/22/2015,,9297
Sharp Creek:  Smith Silo,Fish,6/22/2015,,9297
Sharp Creek:  Smith Silo,Fish,8/1/2011,,
Shell Branch: Pruitt's,Fish,7/22/2022,,10997
Silver Creek: Spencer Rd.,Fish,7/22/2024,,11412
Sixmile Creek:  Kouba,Fish,6/3/2014,,8964
Sixmile Creek:  Kouba,Fish,7/27/2011,,
Smith Hollow Creek:  Adam Thirsty Road,Fish,8/16/2004,,
Soldier Creek:  CR 75,Fish,6/3/2011,,
Soldier Creek:  Hwy 66,fish,8/19/2024,,11486
Soldier Creek:  Hwy 66,Fish,8/5/2020,,10564
Soldier Creek:  Hwy 66,Fish,8/16/2016,,9601
Soldier Creek:  Hwy 66,Fish,6/19/2006,,
Soldier Creek:  Reno Avenue,Fish,7/15/2024,,11412
Soldier Creek:  Reno Avenue,Fish,7/1/2020,,10564
South Fork Cavalry:  Byrd,Fish,7/11/2012,,8051
South Quapaw Creek:  Meeker Lake Outfall,Fish,6/26/2012,,8043
Spring Creek:  Cavalier Road,Fish,8/12/2010,,
Spring Creek:  Cavalier Road,Fish,9/15/2003,136,
Spring Creek:  Cherokee Cattle Company,Fish,10/4/2000,122,
Spring Creek:  Cooper's,Fish,8/24/2015,,9353
Spring Creek:  Fram,Fish,7/31/2017,,9613
Spring Creek:  Fram,Fish,7/12/2013,,8541
Spring Creek:  Fram,Fish,7/10/2013,,8541
Spring Creek:  Fram,Fish,9/2/2008,,
Spring Creek:  Horinek,Fish,6/5/2014,,8964
Spring Creek:  Horinek,Fish,6/20/2011,,
Spring Creek:  I-35,Fish,7/20/2024,,11412
Spring Creek:  I-35,Fish,7/17/2018,,10051
Spring Creek:  I-35,Fish,8/11/2014,,8968
Spring Creek:  I-35,Fish,7/8/2010,,
Spring Creek:  I-35,Fish,8/28/2006,,
Spring Creek:  I-35,Fish,6/6/2006,,
Spring Creek:  I-35,Fish,9/24/2001,60,
Spring Creek:  Martin Park,Fish,8/16/2023,,11202
Spring Creek:  Martin Park,Fish,7/24/2019,,10311
Spring Creek:  Martin Park,Fish,8/8/2014,,8968
Spring Creek:  Oklahoma Avenue,Fish,7/10/2012,,8051
Spring Creek:  Rooney,Fish,8/4/2009,,
Spring Creek: Evans,Fish,7/15/2022,,10997
Spring Creek: Rocky Ford,Fish,7/14/2022,,10997
Spring Creek: Three Spring Farm,Fish,8/3/2022,,10997
Spunky Creek:  Berry Sports Complex,Fish,6/21/2011,,
Spunky Creek:  Catoosa Soccer Fields,Fish,10/1/1996,,
Spunky Creek:  Hwy 412,Fish,9/17/2021,,10777
Spunky Creek:  Hwy 412,Fish,7/20/2015,,9297
Spunky Creek:  Hwy 412,Fish,7/20/2015,,9297
Spunky Creek:  Hwy 412,Fish,8/13/2007,,
Spunky Creek:  Hwy 412,Fish,8/9/2004,,
Stage Stand Creek:  Hwy 81,Fish,6/11/2010,,
Stillwater Creek:  Babcock Park,Fish,9/11/2019,,10337
Stillwater Creek:  Babcock Park,Fish,8/26/2014,,8968
Stillwater Creek:  S Sangre Road,Fish,6/29/2009,,
Sugar Creek:  CR 1320,Fish,7/14/2011,,
Sugar Creek:  CR 1320,Fish,8/6/2007,,
Summerfield Creek: S. 4510 Road,Fish,7/17/2012,,8051
Summerfield Creek: S. 4510 Road,Fish-REP,7/18/2012,,8051
Sycamore Creek:  D 4685,Fish,6/30/2008,,
Sycamore Creek:  D 4685,Fish,9/18/2000,109,
TAG Trib. To North Canadian River:  W 192nd Street,Fish,7/15/2010,,
Tahlequah Ross Branch:  Town Confluence,Fish,8/9/2017,,9613
Tahlequah Ross Branch:  Town Confluence,Fish,6/13/2013,,8541
Tahlequah Ross Branch:  Town Confluence,Fish,8/11/2010,,
Tahlequah Town Branch:  Basin Street,Fish,8/2/2017,,9613
Tahlequah Town Branch:  Basin Street,Fish,6/11/2013,,8541
Tahlequah Town Branch:  Basin Street,Fish,7/16/2008,,
Tahlequah Town Branch:  Basin Street,Fish,8/28/2002,131,
Tahlequah Town Branch:  Spring Street,Fish,8/1/2017,,9613
Tahlequah Town Branch:  Spring Street,Fish,7/8/2013,,8541
Tahlequah Town Branch:  Spring Street,Fish,7/17/2008,,
Tahlequah Town Branch:  Spring Street,Fish,9/13/2001,112,
Taloka Creek:  N 4430,Fish,8/3/2007,,
Tar Creek:  H Street N.E.,Fish,6/30/2014,,8964
Tar Creek:  H Street N.E.,Fish,8/7/2008,,
Tenmile Creek:  Davis,Fish,6/22/2022,,10997
Tenmile Creek:  Davis,Fish,8/22/2016,,9601
Tenmile Creek:  Davis,Fish,6/18/2012,,8043
