Name,M/F/H,Date,Habitat Score,COC
Crow Creek: Zink Park,Fish,8/2/2021,,10776.0
Crow Creek: Zink Park,Fish,7/11/2016,,9601.0
Crow Creek: Zink Park,Fish,6/13/2012,,8043.0
Crow Creek: Zink Park,Fish,8/21/2007,,
Crow Creek: Zink Park,Fish,8/30/2000,88.0,
Crow Creek: Zink Park,Fish,10/14/1996,,
Crutcho Creek: First Baptist Church,Fish,7/17/2023,,11201.0
Crutcho Creek: First Baptist Church,Fish,7/24/2018,,10051.0
Crutcho Creek: First Baptist Church,Fish,7/8/2014,,8964.0
Crutcho Creek: I-40,Fish,7/23/2018,,10051.0
Crutcho Creek: I-40,Fish,8/27/2014,,8968.0
Crutcho Creek: I-40,Fish,7/24/2008,,
Dave Blue Creek: 60th Ave. SE,Fish,6/19/2023,,11201.0
Deep Fork River: Britton Road,Fish,6/25/2012,,8043.0
Deep Fork River: Britton Road,Fish,7/23/2008,,
Deep Fork River: E 0930 Road,Fish,8/12/2005,55.0,
Deep Fork River: Hwy 56 Bridge,Fish,6/23/2011,,
Deep Fork River: Hwy 56 Bridge,Fish,8/11/2006,,
Deep Fork River: River Bend,Fish,9/20/2004,,
Deep Fork River: Rocky Shoals,Fish,7/8/2006,,
Deep Fork River: Wilshire (Site # 110),Fish,9/5/2002,77.0,
Deer Creek: Hwy 4,Fish,8/23/2006,,
Deer Creek: Meridian Avenue,Fish,8/20/2014,,8968.0
Deer Creek: Meridian Avenue,Fish,8/17/2009,,
Deer Creek: Coffee Creek Rd.,Fish,7/27/2019,,10311.0
Delaware Creek: Camp Simpson Upstream,Fish,7/23/2010,,
Delaware Creek: Hwy 97 Bridge,Fish,6/22/2010,,
Delaware Creek: Hwy 97 Bridge,Fish,6/7/2006,,
Delaware Creek: Hwy 97 Bridge,Fish,6/12/2001,102.0,
Delaware Creek: Hwy 97 Bridge,Fish,10/17/1996,,
Doe Creek: Yearling,Fish,6/2/2011,,
Dog Creek: Blue Starr Dr.,Fish,7/27/2021,,10776.0
Double Spring Creek: W 730 Road,Fish,8/10/2010,,
Duck Creek: Myers Park,Fish,6/10/2024,,11412.0
Duck Creek: Myers Park,Fish,6/17/2009,,
East Cache Creek: Big Green,fish,8/22/2024,,11486.0
East Cache Creek: Big Green,Fish,8/14/2019,,10337.0
East Cache Creek: Big Green,Fish,6/26/2013,,8541.0
East Cache Creek: Big Green,Fish,7/15/2009,,
East Cache Creek: Rodgers Lane,fish,8/21/2024,,11486.0
East Cache Creek: Rodgers Lane,Fish,8/15/2019,,10337.0
East Cache Creek: Rodgers Lane,Fish,6/27/2013,,8541.0
Elm Creek Wetlands: East Creek,Fish,6/20/2001,,
Elm Creek Wetlands: Pond Outfall,Fish,11/13/1996,,
Elm Creek: Indian Hills Road,Fish,6/17/2020,,10564.0
Elm Creek: Indian Hills Road,Fish,6/2/2015,,9297.0
Elm Creek: Indian Hills Road,Fish,6/2/2015,,9297.0
Ewers Creek: D0418 Road,Fish,7/9/2012,,8051.0
Ewers Creek: D0418 Road,Fish,9/30/2004,,
Feather Creek: Old Hwy 51,Fish,6/27/2023,,11201.0
Feather Creek: Old Hwy 51,Fish,8/3/2020,,10564.0
Feather Creek: Old Hwy 51,Fish,7/21/2014,,8964.0
Feather Creek: Old Hwy 51,Fish,7/2/2009,,
Feather Creek: Old Hwy 51,Fish,8/25/2005,82.0,
Fish Creek: NS393,Fish,9/6/2000,84.0,
Flat Rock Creek: Hwy 75,Fish,7/28/2021,,10776.0
Flat Rock Creek: Hwy 75,Fish,7/19/2012,,8051.0
Flat Rock Creek: Hwy 75,Fish,7/24/2007,,
Flat Rock Creek: Hwy 75,Fish,8/24/2004,,
"Flint Creek: Fiddlers Bend, Above Illinois River",Fish,7/17/2013,,8576.0
"Flint Creek: Fiddlers Bend, Above Illinois River",Fish,8/5/2008,,
Fourche Maline Creek: Black Loop,Fish,8/25/2022,,10997.0
Fourche Maline Creek: Black Loop,Fish,7/6/2011,,
Fourche Maline Creek: Black Loop,Fish,6/7/2007,,
Fourche Maline Creek: Black Loop,Fish,8/29/2000,105.0,
Fourche Maline Creek: Centerpoint Road,Fish,8/24/2006,,
Fourche Maline Creek: Robbers Cave State Park,Fish,6/6/2007,,
Fourche Maline Creek: Robbers Cave State Park,Fish,7/27/2001,101.0,
Fourmile Creek: Adams Park,Fish,7/29/2019,,10311.0
Fourmile Creek: Adams Park,Fish,6/2/2014,,8964.0
Fourmile Creek: Adams Park,Fish,6/19/2009,,
Frazier Creek: Williams,Fish,6/17/2022,,10997.0
Fred Creek: Evanston,Fish,8/16/2021,,10777.0
Fred Creek: Evanston,Fish,6/30/2015,,9297.0
